----- Contents of SYSTEM_LOG for 'snow_depth' -----


2023-06-18T17:52:26.257+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Running OpenCV example with VDO as video source
2023-06-18T17:52:26.266+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: /usr/local/packages/snow_depth/config/AXIS_Q6215-LE.xml loaded
2023-06-18T17:52:26.630+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Creating VDO image provider and creating stream 1024 x 640
2023-06-18T17:52:26.630+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: chooseStreamResolution: We select stream w/h=1024 x 640 based on VDO channel info.
2023-06-18T17:52:26.910+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Available chip IDs:
2023-06-18T17:52:26.910+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Chip: axis-a7-gpu-proc
2023-06-18T17:52:26.910+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Chip: axis-ace-proc
2023-06-18T17:52:26.910+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Chip: cpu-proc
2023-06-18T17:52:26.910+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Chip: cpu-tflite
2023-06-18T17:52:26.910+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: LoadModel
2023-06-18T17:52:26.910+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: YOLOX
2023-06-18T17:52:26.910+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: cpu-tflite device connected
2023-06-18T17:52:26.910+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: generate_grids_and_strides
2023-06-18T17:52:26.910+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: generate_grids_and_strides end
2023-06-18T17:52:26.915+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Create larod models
2023-06-18T17:52:26.987+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: 'buffer.strategy': <uint32 3>
2023-06-18T17:52:26.987+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: 'channel'--------: <uint32 1>
2023-06-18T17:52:26.987+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: 'format'---------: <uint32 3>
2023-06-18T17:52:26.987+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: 'height'---------: <uint32 640>
2023-06-18T17:52:26.987+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: 'width'----------: <uint32 1024>
2023-06-18T17:52:26.987+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: 1 inputs, 1 outputs
2023-06-18T17:52:26.987+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Map
2023-06-18T17:52:26.987+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Model model/yolox_nano_int8_quantize.tflite loaded
2023-06-18T17:52:26.989+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Mapped with pattern /tmp/larod.in.test-LPuVK3 and size 519168 as handle:10 addr:74246000
2023-06-18T17:52:26.990+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Map deleted size:519168 file:/tmp/larod.in.test-LPuVK3
2023-06-18T17:52:26.991+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Set input tensors
2023-06-18T17:52:26.992+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Map
2023-06-18T17:52:26.993+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Mapped with pattern /tmp/larod.out1.test-M8uTXY and size 1206660 as handle:10 addr:72fd7000
2023-06-18T17:52:26.995+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Map deleted size:1206660 file:/tmp/larod.out1.test-M8uTXY
2023-06-18T17:52:26.997+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Set output tensors
2023-06-18T17:52:26.998+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: label/coco_classes.txt load
2023-06-18T17:52:27.000+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Dump of vdo stream settings map =====
