----- Contents of SYSTEM_LOG for 'snow_depth' -----


2023-06-18T19:48:32023-06-19T11:17:10.323+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Running OpenCV example with VDO as video source
2023-06-19T11:17:10.333+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: /usr/local/packages/snow_depth/config/AXIS_Q6215-LE.xml loaded
2023-06-19T11:17:10.726+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Creating VDO image provider and creating stream 1024 x 576
2023-06-19T11:17:10.726+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: chooseStreamResolution: We select stream w/h=1024 x 576 based on VDO channel info.
2023-06-19T11:17:11.048+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Available chip IDs:
2023-06-19T11:17:11.048+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Chip: axis-a7-gpu-proc
2023-06-19T11:17:11.048+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Chip: axis-a7-gpu-tflite
2023-06-19T11:17:11.048+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Chip: axis-ace-proc
2023-06-19T11:17:11.048+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Chip: cpu-proc
2023-06-19T11:17:11.048+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Chip: cpu-tflite
2023-06-19T11:17:11.048+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Chip: google-edge-tpu-tflite
2023-06-19T11:17:11.048+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: LoadModel
2023-06-19T11:17:11.048+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: YOLOX
2023-06-19T11:17:11.048+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: cpu-tflite device connected
2023-06-19T11:17:11.053+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Create larod models
2023-06-19T11:17:11.053+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: generate_grids_and_strides
2023-06-19T11:17:11.053+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: generate_grids_and_strides end
2023-06-19T11:17:11.454+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 'buffer.strategy': <uint32 3>
2023-06-19T11:17:11.454+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 'channel'--------: <uint32 1>
2023-06-19T11:17:11.454+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 'format'---------: <uint32 3>
2023-06-19T11:17:11.454+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 'height'---------: <uint32 576>
2023-06-19T11:17:11.454+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 'width'----------: <uint32 1024>
2023-06-19T11:17:11.454+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 1 inputs, 1 outputs
2023-06-19T11:17:11.454+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Map
2023-06-19T11:17:11.454+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Map deleted size:519168 file:/tmp/larod.in.test-8InNB2
2023-06-19T11:17:11.454+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Mapped with pattern /tmp/larod.in.test-8InNB2 and size 519168 as handle:10 addr:0x74216000
2023-06-19T11:17:11.454+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Model model/yolox_nano_int8_quantize.tflite loaded
2023-06-19T11:17:11.456+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Map
2023-06-19T11:17:11.456+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Mapped with pattern /tmp/larod.out1.test-o5FL7b and size 1206660 as handle:10 addr:0x72fd7000
2023-06-19T11:17:11.456+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Set input tensors
2023-06-19T11:17:11.460+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Dump of vdo stream settings map =====
2023-06-19T11:17:11.460+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Map deleted size:1206660 file:/tmp/larod.out1.test-o5FL7b
2023-06-19T11:17:11.460+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Read 80 labels from label/coco_classes.txt
2023-06-19T11:17:11.460+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Set output tensors
2023-06-19T11:17:11.460+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: label/coco_classes.txt load
2023-06-19T11:17:11.564+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Start fetching video frames from VDO
